,road,chainage,lrp,lat,lon,gap,type,name
3437,N207,18.976,LRP019b,24.305,91.6818327,,Bridge,Bridge end
3438,N207,19.84,LRP020,24.3030278,91.6901663,,KmPost,Srimongal 5 km
3439,N207,19.888,LRP020a,24.3029167,91.690583,,Culvert,Box Culvert
3440,N207,20.209,LRP020b,24.3021389,91.6936386,,Culvert,Box Culvert
3441,N207,20.85,LRP021,24.3019444,91.7000278,,KmPost,Srimongal 4 km
3442,N207,21.386,LRP021a,24.3018611,91.7052222,,Culvert,Box Culvert
3443,N207,21.845,LRP022,24.3016944,91.7096944,,KmPost,Srimongal 3 km
3444,N207,22.766,LRP022a,24.3025556,91.7185271,,Bridge,Bridge start
3445,N207,22.778,LRP022b,24.3025833,91.7186104,,Bridge,Bridge end
3446,N207,22.845,LRP023,24.3030278,91.719166,,KmPost,Srimongal 2 km
3447,N207,23.814,LRP023a,24.3084167,91.7265827,,Culvert,Box Culvert
3448,N207,23.855,LRP024,24.3085278,91.7270549,,KmPost,Srimongal 1 km
3449,N207,24.319,LRP024a,24.3095556,91.7313882,,"SideRoad,Right","Z2003 ,Khulna -Srimongal road"
3450,N207,24.855,LRP025,24.3138611,91.7333886,,KmPost,Sylhet 81 km
3451,N207,24.962,LRP025a,24.3146944,91.7338052,,Culvert,Box culvert
3452,N207,25.246,LRP025b,24.3170549,91.7348052,,Culvert,Box Culvert
3453,N207,25.483,LRP025c,24.3191104,91.7353886,,Culvert,Box Culvert
3454,N207,25.701,LRP025d,24.3209716,91.7358886,,Culvert,Box Culvert
3455,N207,25.855,LRP026,24.3224993,91.7363608,,KmPost,Sylhet 80 km
3456,N207,25.986,LRP026a,24.3236104,91.7365552,,Culvert,Box Culvert
3457,N207,26.562,LRP026b,24.3286382,91.7377219,,Culvert,Box Culvert
3458,N207,26.855,LRP027,24.3311938,91.7383886,,KmPost,Sylhet 79 km
3459,N207,26.896,LRP027a,24.3315271,91.7384997,,Culvert,Box Culvert
3460,N207,27.243,LRP027b,24.3343886,91.7397497,,Culvert,Box Culvert
3461,N207,27.742,LRP027c,24.3386386,91.7409719,,Bridge,Bridge start
3462,N207,27.76,LRP027d,24.3387497,91.7410274,,Bridge,Bridge end
3463,N207,27.86,LRP028,24.3397219,91.741333,,KmPost,Sylhet 78 km
3464,N207,28.124,LRP028a,24.3417497,91.7425552,,Culvert,Box Culvert
3465,N207,28.522,LRP028b,24.3448886,91.7444997,,Culvert,Box Culvert
3466,N207,28.865,LRP029,24.3478608,91.7457219,,KmPost,Sylhet 77 km
3467,N207,29.229,LRP029a,24.3509444,91.7469163,,Culvert,Box Culvert
3468,N207,29.401,LRP029b,24.3523889,91.7473886,,Culvert,Box Culvert
3469,N207,29.7,LRP029c,24.355,91.7480552,,Culvert,Box Culvert
3470,N207,29.86,LRP030,24.3564167,91.7483608,,KmPost,Sylhet 76 km
3471,N207,29.992,LRP030a,24.3569444,91.7484997,,Culvert,Box Culvert
3472,N207,30.3,LRP030b,24.3566389,91.7493052,,Culvert,Box Culvert
3473,N207,30.833,LRP030c,24.3650278,91.7663333,,Culvert,Box Culvert
3474,N207,30.86,LRP031,24.3652778,91.7496663,,KmPost,Sylhet 75 km
3475,N207,31.41,LRP031a,24.3702493,91.7498608,,Culvert,Box Culvert
3476,N207,31.83,LRP032,24.3739716,91.7500556,,KmPost,Sylhet 74 km
3477,N207,32.425,LRP032a,24.3792216,91.7506389,,Culvert,Box Culvert
3478,N207,32.685,LRP032b,24.3814716,91.7511389,,Culvert,Box Culvert
3479,N207,32.805,LRP033,24.3824716,91.7513889,,KmPost,Sylhet 73 km
3480,N207,32.94,LRP033a,24.3668882,91.7518056,,Culvert,Box Culvert
3481,N207,33.321,LRP033b,24.3866941,91.753,,Culvert,Box Culvert
3482,N207,33.805,LRP034,24.3909997,91.7539167,,KmPost,Sylhet 72 km
3483,N207,34.057,LRP034a,24.3931663,91.7542222,,Culvert,Box Culvert
3484,N207,34.895,LRP035,24.4007778,91.75475,,KmPost,Sylhet 71 km
3485,N207,35.657,LRP035a,24.4075833,91.7547222,,Culvert,Box Culvert
3486,N207,35.895,LRP036,24.4098056,91.7550278,,KmPost,Sylhet 70 km
3487,N207,36.21,LRP036a,24.4125,91.7556389,,Culvert,Box Culvert
3488,N207,36.895,LRP037,24.4184993,91.7573056,,KmPost,Sylhet 69 km
3489,N207,36.983,LRP037a,24.4192216,91.7575,,Culvert,Box Culvert
3490,N207,37.312,LRP037b,24.4220271,91.7583056,,Culvert,Box Culvert
3491,N207,37.777,LRP037c,24.4261104,91.7588333,,Culvert,Box Culvert
3492,N207,37.925,LRP038,24.4276104,91.759,,KmPost,Sylhet 68 km
3493,N207,38.569,LRP038a,24.433166,91.7601389,,Culvert,Box Culvert
3494,N207,38.819,LRP038b,24.4352774,91.7609167,,Culvert,Box Culvert
3495,N207,38.925,LRP039,24.4361941,91.7612222,,KmPost,Sylhet 67 km
3496,N207,39.159,LRP039a,24.4381941,91.7619167,,Culvert,Box Culvert
3497,N207,39.706,LRP039b,24.4429163,91.7612778,,Culvert,Box Culvert
3498,N207,39.925,LRP040,24.4450274,91.7614167,,KmPost,Sylhet 66 km
3499,N207,40.252,LRP040a,24.4501944,91.7616111,,Culvert,Box Culvert
3500,N207,40.516,LRP040b,24.4501944,91.7618611,,Culvert,Box Culvert
3501,N207,40.925,LRP041,24.4538611,91.7623333,,KmPost,Sylhet 65 km
3502,N207,41.057,LRP041a,24.4550278,91.7624722,,Culvert,Box Culvert
3503,N207,41.584,LRP041b,24.4596944,91.7632778,,Culvert,Box Culvert
3504,N207,41.915,LRP042,24.4626389,91.7640278,,KmPost,Sylhet 64 km
3505,N207,42.867,LRP042a,24.4693882,91.7656667,,Culvert,Box Culvert
3506,N207,42.905,LRP043,24.4713604,91.7654722,,KmPost,Sylhet 63 km
3507,N207,42.917,LRP043a,24.4714438,91.7654722,,"SideRoad,Right","N 208 ,Moulavibazar-Sylet road"
3508,N207,43.145,LRP043b,24.4734716,91.7654722,,Bridge,Bridge start
3509,N207,43.169,LRP043c,24.4736104,91.7654167,,Bridge,Bridge end
3510,N207,43.905,LRP044,24.4891386,91.7654167,,KmPost,Km  post missing
3511,N207,45.005,LRP045,24.4891386,91.76225,,KmPost,Sylhet 61 km
3512,N207,45.995,LRP046,24.4893052,91.7527222,,KmPost,Sylhet 60 km
3513,N207,46.965,LRP047,24.4931386,91.7474441,,KmPost,Sylhet 59 km
3514,N207,47.61,LRP047a,24.4967497,91.7432219,,Culvert,Box Culvert
3515,N207,47.94,LRP048,24.4972774,91.7427219,,KmPost,Sylhet 58 km
3516,N207,47.991,LRP048a,24.4972774,91.7396108,,Culvert,Box Culvert
3517,N207,48.463,LRP048b,24.4988052,91.7355274,,Culvert,Box Culvert
3518,N207,48.96,LRP049,24.5030278,91.7360274,,KmPost,Sylhet 57 km
3519,N207,49.94,LRP050,24.509,91.7288327,,KmPost,Sylhet 56 km
3520,N207,50.925,LRP051,24.5155,91.7268604,,KmPost,Sylhet 55 km
3521,N207,51.421,LRP051a,24.5185549,91.7301382,,Culvert,Box Culvert
3522,N207,51.87,LRP051b,24.5224438,91.7308882,,Culvert,Box Culvert
3523,N207,51.895,LRP052,24.5226104,91.730916,,KmPost,Km post broken
3524,N207,52.189,LRP052a,24.5249993,91.7320271,,Culvert,Box Culvert
3525,N207,52.895,LRP053,24.5307771,91.7341386,,KmPost,Sylhet 53 km
3526,N207,53.389,LRP053a,24.5348886,91.733583,,Culvert,Box Culvert
3527,N207,53.885,LRP054,24.5390274,91.7317771,,KmPost,Sylhet 52 km
3528,N207,54.885,LRP055,24.5477497,91.7306104,,KmPost,Sylhet 51 km
3529,N207,55.454,LRP055a,24.5524444,91.7286104,,Culvert,Box Culvert
3530,N207,55.855,LRP056,24.5558611,91.7274993,,KmPost,Sylhet 50 km
3531,N207,56.56,LRP056a,24.5609444,91.7236382,,Bridge,Bridge start
3532,N207,56.58,LRP056b,24.5611111,91.7235271,,Bridge,Bridge end
3533,N207,56.855,LRP057,24.5636667,91.7225549,,KmPost,Sylhet 49 km
3534,N207,57.097,LRP057a,24.5657222,91.7222771,,Culvert,Box Culvert
3535,N207,57.775,LRP058,24.5717216,91.7228327,,KmPost,Sylhet 48 km
3536,N207,58.825,LRP059,24.575916,91.7191382,,KmPost,Sylhet 47 km
3537,N207,59.825,LRP060,24.5773049,91.7096944,,KmPost,Sylhet 46 km
3538,N207,60.319,LRP060a,24.577916,91.7049444,,Culvert,Box Culvert
3539,N207,60.73,LRP061,24.578166,91.7009167,,KmPost,Sylhet 45 km
3540,N207,61.129,LRP061a,24.5770549,91.6972774,,Culvert,Box Culvert
3541,N207,61.551,LRP061b,24.5763049,91.6932497,,Bridge,Bridge start
3542,N207,61.617,LRP061c,24.5762493,91.6926941,,Bridge,Bridge end
3543,N207,61.715,LRP062,24.5761382,91.6918608,,KmPost,Sylhet 44 km
3544,N207,62.022,LRP062a,24.576666,91.6888886,,Culvert,Box Culvert
3545,N207,62.725,LRP063,24.5821104,91.6871108,,KmPost,Sylhet 43 km
3546,N207,62.922,LRP063a,24.5837774,91.6868052,,Bridge,Bridge start
3547,N207,62.934,LRP063b,24.5838608,91.6867774,,Bridge,Bridge end
3548,N207,63.675,LRP064,24.5894997,91.6839441,,KmPost,Sylhet 42 km
3549,N207,64.032,LRP064a,24.5918052,91.6817216,,Bridge,Bridge start
3550,N207,64.144,LRP064b,24.5926663,91.6815827,,Bridge,Bridge end
3551,N207,64.695,LRP064c,24.5977497,91.6809716,,Culvert,Box Culvert
3552,N207,64.715,LRP065,24.598083,91.6809716,,KmPost,Sylhet 41 km
3553,N207,65.685,LRP066,24.6066111,91.6799438,,KmPost,Sylhet 40 km
3554,N207,66.091,LRP066a,24.6095556,91.6780271,,Culvert,Box Culvert
3555,N207,66.685,LRP067,24.6150556,91.6772216,,KmPost,Sylhet 39 km
3556,N207,67.635,LRP068,24.6232771,91.678166,,KmPost,Sylhet 38 km
3557,N207,67.985,LRPE,24.6263327,91.6775271,,Others,Road end with N2 at Mukti joddha Chattor Sherpur.
3558,N208,0.0,LRPS,24.4713604,91.7655556,,Others,Road Start from N207 infront of RHD
3559,N208,1.0,LRP001,24.4757216,91.7727771,,KmPost,Km post missing
3560,N208,1.305,LRP001a,24.4756382,91.7758049,,Culvert,Box culvert
3561,N208,1.82,LRP001b,24.4757216,91.7757216,,Culvert,Box Culvert
3562,N208,2.0,LRP002,24.4809716,91.7777216,,KmPost,Km post missing
3563,N208,2.509,LRP002a,24.4852497,91.7766382,,Bridge,Bridge start
3564,N208,2.526,LRP002b,24.4854163,91.7766104,,Bridge,Bridge end
3565,N208,3.0,LRP003,24.489333,91.7751104,,KmPost,Km post missing
3566,N208,3.19,LRP003a,24.4909719,91.7744993,,"SideRoad,Right","Z2002,Moulavibazar-Chatla Cheek post road"
3567,N208,3.5,LRP003b,24.4936941,91.7742216,,Bridge,Bridge start
3568,N208,3.65,LRP003c,24.4948608,91.7734438,,Bridge,Bridge end
3569,N208,4.0,LRP004,24.4978886,91.7734993,,KmPost,Km post missing
3570,N208,4.613,LRP004a,24.5006389,91.7786382,,Culvert,Box culvert
3571,N208,5.0,LRP005,24.5017778,91.7823327,,KmPost,Km post missing
3572,N208,5.383,LRP005a,24.5028056,91.7859441,,Culvert,Box culvert
3573,N208,5.856,LRP005b,24.5036111,91.7904719,,Culvert,Box culvert
3574,N208,5.885,LRP006,24.5036389,91.7907774,,KmPost,Information missing
3575,N208,6.529,LRP006a,24.5031944,91.7970274,,Culvert,Box culvert
3576,N208,6.885,LRP007,24.5028056,91.8006111,,KmPost,Km post missing
3577,N208,6.944,LRP007a,24.5027222,91.8011667,,Culvert,Box culvert
3578,N208,7.0,LRP007b,24.5026944,91.8017222,,Culvert,Box culvert
3579,N208,7.885,LRP008,24.5015556,91.8103611,,KmPost,Km post missing
3580,N208,8.585,LRP008a,24.5007778,91.8167216,,Culvert,Box culvert
3581,N208,8.885,LRP009,24.5018333,91.8195271,,KmPost,Km post missing
3582,N208,9.423,LRP009a,24.50375,91.8243327,,Bridge,Bridge start
3583,N208,9.462,LRP009b,24.5038889,91.8246382,,Bridge,Bridge end
3584,N208,9.835,LRP010,24.50525,91.8280271,,KmPost,Information missing
3585,N208,9.934,LRP010a,24.5055278,91.828916,,Culvert,Box culvert
3586,N208,10.273,LRP010b,24.5066389,91.8320827,,Culvert,Box culvert
3587,N208,10.835,LRP011,24.5093333,91.836833,,KmPost,Km post missing
3588,N208,11.469,LRP011a,24.5126667,91.841833,,Culvert,Box culvert
3589,N208,11.638,LRP011b,24.5134722,91.8431941,,Culvert,Box culvert
3590,N208,11.8,LRP012,24.51425,91.8444719,,KmPost,Information missing
3591,N208,12.166,LRP012a,24.5160278,91.8474997,,Culvert,Box culvert
3592,N208,12.8,LRP013,24.5176382,91.8535,,KmPost,Km post missing
3593,N208,12.818,LRP013a,24.517666,91.8536389,,Culvert,Box culvert
3594,N208,13.461,LRP013b,24.5179438,91.8599722,,"SideRoad,Right","R281,Rajnagar-Charkhai road"
3595,N208,13.47,LRP013c,24.5179716,91.8599722,,Culvert,Box Culvert
3596,N208,13.8,LRP014,24.5204438,91.8619167,,KmPost,Km post missing
3597,N208,14.262,LRP014a,24.5240827,91.8640833,,Culvert,Box culvert
3598,N208,14.465,LRP015,24.525666,91.865,,KmPost,Sylhet 48 km
3599,N208,14.609,LRP015a,24.5268049,91.8656667,,Culvert,Box culvert
3600,N208,15.465,LRP016,24.5337497,91.869166,,KmPost,Sylhet 47 km
3601,N208,15.525,LRP016a,24.5342497,91.8692493,,Culvert,Box culvert
3602,N208,15.697,LRP016b,24.5357774,91.8696104,,Culvert,Box culvert
3603,N208,16.465,LRP017,24.5410552,91.8741382,,KmPost,Sylhet 46 km
3604,N208,16.546,LRP017a,24.541583,91.874666,,Culvert,Box culvert
3605,N208,16.954,LRP017b,24.5444163,91.8771104,,Culvert,Box culvert
3606,N208,17.465,LRP018,24.5484441,91.8796104,,KmPost,Sylhet 45 km
3607,N208,17.89,LRP018a,24.552,91.8809716,,Culvert,Box culvert
3608,N208,18.465,LRP019,24.5570833,91.8820827,,KmPost,Sylhet 44 km
3609,N208,18.551,LRP019a,24.5578056,91.8821938,,Bridge,Bridge start
3610,N208,18.573,LRP019b,24.558,91.8822493,,Bridge,Bridge end
3611,N208,19.465,LRP020,24.5656944,91.8848608,,KmPost,Sylhet 43 km
3612,N208,19.76,LRP020a,24.5681382,91.8859441,,Bridge,Bridge start
3613,N208,19.831,LRP020b,24.5684438,91.8861386,,Bridge,Bridge END
3614,N208,20.264,LRP020c,24.5719993,91.8884441,,Culvert,Box culvert
3615,N208,20.408,LRP020d,24.573166,91.8888608,,Culvert,Box culvert
3616,N208,20.465,LRP021,24.5738049,91.8890274,,KmPost,Sylhet 42 km
3617,N208,20.64,LRP021a,24.5759993,91.8898608,,Culvert,Box culvert
3618,N208,20.894,LRP021b,24.5773049,91.8906386,,Culvert,Box Culvert
3619,N208,21.465,LRP022,24.5818604,91.8931941,,KmPost,Sylhet 41 km
3620,N208,21.5,LRP022a,24.5819993,91.8932497,,Culvert,Box culvert
3621,N208,22.233,LRP022b,24.5884441,91.894833,,Culvert,Box culvert
3622,N208,22.411,LRP022c,24.5898886,91.8956108,,Culvert,Box Culvert
3623,N208,22.465,LRP023,24.5902774,91.8960552,,KmPost,Sylhet 40 km
3624,N208,22.809,LRP023a,24.5930552,91.8979997,,Culvert,Box culvert
3625,N208,23.143,LRP023b,24.5958052,91.898583,,Culvert,Box culvert
3626,N208,23.275,LRP023c,24.5966108,91.8988608,,Culvert,Box culvert
3627,N208,23.452,LRP023d,24.5981386,91.8992497,,Culvert,Box Culvert
3628,N208,23.465,LRP024,24.5983886,91.899333,,KmPost,Sylhet 39 km
3629,N208,23.787,LRP024a,24.6011389,91.9003333,,Culvert,Box culvert
3630,N208,24.208,LRP024b,24.6045556,91.9019167,,Culvert,Box culvert
3631,N208,24.465,LRP025,24.6067222,91.9029722,,KmPost,Sylhet 38 km
3632,N208,24.615,LRP025a,24.6079722,91.9035,,Culvert,Box culvert
3633,N208,25.056,LRP025b,24.6116389,91.9049167,,Bridge,Bridge start
3634,N208,25.102,LRP025c,24.612,91.9050556,,Bridge,Bridge end
3635,N208,25.263,LRP025d,24.6133056,91.9056111,,Culvert,Box culvert
3636,N208,25.445,LRP026,24.61475,91.9062222,,KmPost,Sylhet 37 km
3637,N208,25.556,LRP026a,24.6156944,91.9066111,,Culvert,Box culvert
3638,N208,26.425,LRP026b,24.623416,91.9078056,,Culvert,Box culvert
3639,N208,26.465,LRP027,24.6239716,91.9079444,,KmPost,Sylhet 36 km
3640,N208,26.556,LRP027a,24.6247493,91.9081111,,Bridge,Bridge start
3641,N208,26.584,LRP027b,24.6249716,91.9081667,,Bridge,Bridge end
3642,N208,26.69,LRP027c,24.6281938,91.9090556,,Culvert,Box culvert
3643,N208,27.196,LRP027d,24.6302216,91.9096111,,Culvert,Box culvert
3644,N208,27.343,LRP027e,24.6313604,91.9093333,,Culvert,Box culvert
3645,N208,27.455,LRP027f,24.632416,91.9104167,,Culvert,Box culvert
3646,N208,27.475,LRP028,24.6325827,91.9104444,,KmPost,Sylhet 35 km
3647,N208,27.805,LRP028a,24.6343052,91.9129167,,Culvert,Box culvert
3648,N208,28.107,LRP028b,24.6365274,91.9144444,,Culvert,Box culvert
3649,N208,28.383,LRP028c,24.6387774,91.9153333,,Culvert,Box culvert
3650,N208,28.475,LRP029,24.6397497,91.9158056,,KmPost,Sylhet 34 km
3651,N208,28.702,LRP029a,24.6417219,91.91625,,Culvert,Box culvert
3652,N208,28.806,LRP029b,24.6426108,91.9163333,,Culvert,Box culvert
3653,N208,29.064,LRP029c,24.6448608,91.9167771,,Bridge,Bridge start
3654,N208,29.094,LRP029d,24.6451108,91.9168604,,Bridge,Bridge end
3655,N208,29.475,LRP030,24.6483608,91.917916,,KmPost,Sylhet 33 km
3656,N208,29.514,LRP030a,24.6486663,91.9180549,,Culvert,Box culvert
3657,N208,30.016,LRP030b,24.6515,91.9218882,,Culvert,Box culvert
3658,N208,30.415,LRP030c,24.6543056,91.9239716,,Culvert,Box culvert
3659,N208,30.475,LRP031,24.6548056,91.9240827,,KmPost,Km post missing
3660,N208,30.593,LRP031a,24.6558056,91.9243604,,Culvert,Box culvert
3661,N208,30.809,LRP031b,24.6574722,91.9253327,,Culvert,Box culvert
3662,N208,31.11,LRP031c,24.66,91.9258327,,Culvert,Box culvert
3663,N208,31.29,LRP032,24.6614722,91.9256938,,KmPost,Info.Missing
3664,N208,31.611,LRP032a,24.6643611,91.9257771,,Culvert,Box culvert
3665,N208,31.86,LRP032b,24.6666389,91.9264993,,Culvert,Box Culvert
3666,N208,31.92,LRP032c,24.6668604,91.9267771,,"SideRoad,Right",Z2020 to Palbari
3667,N208,32.065,LRP032d,24.6680271,91.927416,,Bridge,Bridge start
3668,N208,32.092,LRP032e,24.6682216,91.9275549,,Bridge,Bridge end
3669,N208,32.275,LRP033,24.6697216,91.9282493,,KmPost,Sylhet 30 km
3670,N208,32.314,LRP033a,24.6700271,91.9283604,,Culvert,Box culvert
3671,N208,32.708,LRP033b,24.673416,91.9294993,,Culvert,Box culvert
3672,N208,33.255,LRP034,24.6782493,91.9300827,,KmPost,Sylhet 29 km
3673,N208,33.554,LRP034a,24.6809438,91.9302771,,Culvert,Box culvert
3674,N208,33.759,LRP034b,24.6827771,91.9303882,,Culvert,Box culvert
3675,N208,33.998,LRP034c,24.6848886,91.9304993,,Culvert,Box culvert
3676,N208,34.12,LRP034d,24.6859719,91.930666,,Culvert,Box culvert
3677,N208,34.235,LRP035,24.6869163,91.9309438,,KmPost,Sylhet 28 km
3678,N208,34.415,LRP035a,24.6884163,91.9313604,,Culvert,Box culvert
3679,N208,34.5,LRP035b,24.6884719,91.9314438,,Culvert,Box culvert
3680,N208,34.565,LRP035c,24.6897219,91.9317216,,Culvert,Box culvert
3681,N208,34.764,LRP035d,24.6913608,91.9323327,,Culvert,Box culvert
3682,N208,34.919,LRP035e,24.6925274,91.9331104,,Culvert,Box Culvert
3683,N208,35.04,LRP035f,24.6934997,91.933583,,"SideRoad,Right",Z2020 to Palbari
3684,N208,35.235,LRP036,24.695083,91.9325549,,KmPost,Km post missing
3685,N208,35.373,LRP036a,24.6961108,91.9318327,,Bridge,Bridge start
3686,N208,35.643,LRP036b,24.6981386,91.930416,,Bridge,Bridge end
3687,N208,36.235,LRP037,24.7032778,91.9288327,,KmPost,Km post missing
3688,N208,36.503,LRP037a,24.7055833,91.9287771,,Culvert,Box culvert
3689,N208,37.235,LRP038,24.7120833,91.9285827,,KmPost,Km post missing
3690,N208,37.814,LRP038a,24.7172493,91.9283327,,Bridge,Bridge start
3691,N208,37.945,LRP038b,24.718416,91.9283049,,Bridge,Bridge end
3692,N208,38.235,LRP039,24.7210271,91.9288327,,KmPost,Km post missing
3693,N208,38.266,LRP039a,24.7212771,91.9288882,,RailRoadCrossing,Rail Road Crossing
3694,N208,38.665,LRP040,24.7248882,91.9284716,,KmPost,Sylhet 21 km
3695,N208,39.621,LRP040a,24.7332216,91.9266938,,Culvert,Box culvert
3696,N208,39.665,LRP041,24.7336386,91.9265271,,KmPost,Sylhet 20 km
3697,N208,40.615,LRP041a,24.7416941,91.923416,,Bridge,Bridge start
3698,N208,40.665,LRP042,24.7425552,91.9231382,,KmPost,Km post missing
3699,N208,40.715,LRP042a,24.7425552,91.9231382,,Bridge,Bridge end
3700,N208,41.248,LRP042b,24.7470552,91.9215549,,Culvert,Box culvert
3701,N208,41.665,LRP043,24.7506389,91.9203049,,KmPost,Km post missing
3702,N208,41.874,LRP043a,24.7524167,91.919666,,Culvert,Box culvert
3703,N208,42.159,LRP043b,24.7549167,91.9188049,,Bridge,Bridge start
3704,N208,42.201,LRP043c,24.7551944,91.9187216,,Bridge,Bridge end
3705,N208,42.675,LRP044,24.7593056,91.9172771,,KmPost,Sylhet 17 km
3706,N208,43.675,LRP045,24.7679993,91.9145,,KmPost,Km post broken
3707,N208,43.835,LRP045a,24.7693882,91.9140833,,Bridge,Bridge start
3708,N208,43.867,LRP045b,24.7696382,91.9140278,,Bridge,Bridge end
3709,N208,44.675,LRP046,24.7767216,91.9126944,,KmPost,Km post missing
3710,N208,44.94,LRP046a,24.778916,91.9118056,,Bridge,Bridge start
3711,N208,44.974,LRP046b,24.7792216,91.9116944,,Bridge,Bridge end
3712,N208,45.675,LRP047,24.7854163,91.9097778,,KmPost,Km post missing
3713,N208,45.837,LRP047a,24.7868886,91.9095278,,Culvert,Box culvert
3714,N208,46.517,LRP047b,24.7928886,91.9097778,,Bridge,Bridge start
3715,N208,46.551,LRP047c,24.7931386,91.9098056,,Bridge,Bridge end
3716,N208,46.675,LRP048,24.7943052,91.9099722,,KmPost,Sylhet 13 km
3717,N208,47.675,LRP049,24.8026111,91.9132222,,KmPost,Km post missing
3718,N208,47.79,LRP049a,24.8035556,91.9135833,,Bridge,Bridge start
3719,N208,47.818,LRP049b,24.7703882,91.9136944,,Bridge,Bridge end
3720,N208,48.675,LRP050,24.8110278,91.9113056,,KmPost,Km post missing
3721,N208,49.675,LRP051,24.8191382,91.9014722,,KmPost,Km post missing
3722,N208,50.665,LRP052,24.8263327,91.9015,,KmPost,Sylhet 9 km
3723,N208,50.82,LRP052a,24.8275549,91.9007778,,Culvert,Box culvert
3724,N208,51.05,LRP052b,24.8286938,91.9000556,,"SideRoad,Right","Z2832,Daudabad-Vdeshwar road"
3725,N208,51.665,LRP053,24.8349163,91.893083,,KmPost,Sylhet 8 km
3726,N208,51.743,LRP053a,24.835333,91.8981386,,Bridge,Bridge start
3727,N208,51.768,LRP053b,24.8354719,91.8979719,,Bridge,Bridge end
3728,N208,52.665,LRP054,24.8425552,91.895583,,KmPost,Sylhet 7 km
3729,N208,53.342,LRP054a,24.8479997,91.896583,,"SideRoad,Right","N210, Sylhet Bypass road"
3730,N208,53.585,LRP055,24.8495274,91.8949163,,KmPost,Sylhet 8 km
3731,N208,54.585,LRP056,24.8557778,91.8881108,,KmPost,Sylhet 7 km
3732,N208,55.51,LRP056a,24.8615278,91.8818604,,Culvert,Box culvert
3733,N208,55.595,LRP057,24.8618889,91.8810271,,KmPost,Sylhet 6 km
3734,N208,56.595,LRP058,24.8694993,91.8760271,,KmPost,Sylhet 5 km
3735,N208,57.495,LRPE,24.8775549,91.8753604,,Others,"Road end at Humayun Rashid Chattar, Intersection od N2 and N208"
3736,N209,0.0,LRPS,24.8775549,91.8753604,,Others,"Start of the Road at Humayun Rashid Chattar Intersection between N2 and N209
"
3737,N209,0.09,LRPSa,24.8781382,91.8753049,,Culvert,Box culvert
3738,N209,0.43,LRPSb,24.8813882,91.8753327,,CrossRoad,Intersection with R250
3739,N209,0.682,LRPSc,24.8817771,91.872916,,Culvert,Box Culvert
3740,N209,0.97,LRPSd,24.8822771,91.8701104,,Culvert,Box Culvert
3741,N209,1.0,LRP001,24.8830271,91.8690271,,KmPost,Km post missing
3742,N209,1.33,LRPE,24.8859441,91.868166,,Others,"Road End at Keean bridge More at Intersection of N205, R250 , N209 and N206"
3743,N210,0.0,LRPS,24.9162778,91.9495552,,Others,Road Start From N2 At Khadimnagar Bypass Point
3744,N210,0.04,LRP001,24.9158889,91.9496663,,KmPost,Dhaka 255 Km
3745,N210,0.2,LRP001a,24.9145,91.9496941,,Culvert,Box Culvert
3746,N210,0.649,LRP001b,24.9104722,91.9496108,,Culvert,Box Culvert
3747,N210,0.732,LRP001c,24.9097778,91.9494719,,Culvert,Box Culvert
3748,N210,1.005,LRP001d,24.9073889,91.9488886,,Culvert,Box Culvert
3749,N210,1.03,LRP002,24.90725,91.948833,,KmPost,Dhaka 254 Km
3750,N210,1.628,LRP002a,24.902,91.9475552,,Culvert,Box Culvert
3751,N210,1.945,LRP002b,24.8992774,91.9468608,,Culvert,Box Culvert
3752,N210,2.035,LRP003,24.8984997,91.9466386,,KmPost,Dhaka 253 Km
3753,N210,2.644,LRP003a,24.8932219,91.9450552,,Culvert,Box Culvert
3754,N210,2.95,LRP003b,24.8905552,91.9441386,,Culvert,Box Culvert
3755,N210,3.035,LRP004,24.8898052,91.9438886,,KmPost,Dhaka 252 Km
3756,N210,3.151,LRP004a,24.888833,91.943583,,Bridge,Bridge Start
3757,N210,3.194,LRP004b,24.8884441,91.9434719,,Bridge,Bridge End
3758,N210,3.376,LRP004c,24.8869163,91.9429441,,Culvert,Box Culvert
3759,N210,3.719,LRP004d,24.8841941,91.9414997,,Culvert,Box Culvert
3760,N210,4.04,LRP005,24.8818327,91.9394719,,KmPost,Dhaka 251 Km
3761,N210,4.129,LRP005a,24.8812771,91.9389441,,Culvert,Box Culvert
3762,N210,4.421,LRP005b,24.8792493,91.9371108,,Culvert,Box Culvert
3763,N210,4.713,LRP005c,24.8772216,91.9353052,,Culvert,Box Culvert
3764,N210,5.04,LRP006,24.8748604,91.9331938,,KmPost,Dhaka 250 Km
3765,N210,5.195,LRP006a,24.8738327,91.9322771,,Culvert,Box Culvert
3766,N210,5.97,LRP007,24.8673604,91.9304993,,KmPost,Dhaka 249 Km
3767,N210,5.985,LRP007a,24.8672216,91.9304993,,Bridge,Bridge Start
3768,N210,6.385,LRP007b,24.8637222,91.9295827,,Bridge,Bridge End
3769,N210,7.045,LRP007c,24.8581111,91.9277771,,CrossRoad,"R250,Sylhet-Jakiganj road"
3770,N210,7.07,LRP008,24.8578611,91.9276382,,KmPost,Dhaka 248 Km
3771,N210,7.194,LRP008a,24.8568611,91.9272216,,Culvert,Box Culvert
3772,N210,7.75,LRP008b,24.8524444,91.9246382,,Culvert,Box Culvert
